point_maze	four_rooms	L111	fragmented	graql
		0.9	1.0000	0.0000
		1	1.0000	0.0000
point_maze	obstacles	L333	continuing	graml
		0.3	0.3000	0.1000
		0.5	0.4500	0.1000
		0.7	0.7000	0.1000
		0.9	0.4500	0.2449
		1	0.5000	0.1581
point_maze	obstacles	L333	continuing	graql
		0.3	0.4500	0.1871
		0.5	0.8000	0.1000
		0.7	0.9500	0.1000
		0.9	1.0000	0.0000
		1	1.0000	0.0000
point_maze	obstacles	L444	fragmented	graml
		0.3	0.8000	0.0000
		0.5	0.7600	0.1497
		0.7	0.6800	0.0980
		0.9	0.6400	0.0800
		1	0.6000	0.0000
point_maze	obstacles	L444	fragmented	graql
		0.3	0.8000	0.0000
		0.5	0.8400	0.1497
		0.7	0.7600	0.0800
		0.9	0.8000	0.1265
		1	0.8000	0.1789
point_maze	obstacles	L444	continuing	graml
		0.3	0.3200	0.1600
		0.5	0.4400	0.1497
		0.7	0.6800	0.0980
		0.9	0.4800	0.0980
		1	0.3600	0.1497
point_maze	obstacles	L444	continuing	graql
		0.3	0.6000	0.1265
		0.5	0.8000	0.1789
		0.7	0.8400	0.2332
		0.9	0.8000	0.1789
		1	0.8800	0.0980
point_maze	obstacles	L555	fragmented	graml
		0.3	0.7667	0.1333
		0.5	0.7000	0.0667
		0.7	0.6667	0.0000
		0.9	0.5333	0.0667
		1	0.7333	0.2000
point_maze	obstacles	L555	fragmented	graql
		0.3	0.8000	0.0667
		0.5	0.7000	0.0667
		0.7	0.7667	0.0816
		0.9	0.7333	0.0816
		1	0.7667	0.0816
point_maze	obstacles	L555	continuing	graml
		0.3	0.5000	0.1491
		0.5	0.2333	0.1700
		0.7	0.6000	0.0816
		0.9	0.5000	0.1826
		1	0.3667	0.0667
point_maze	obstacles	L555	continuing	graql
		0.3	0.4000	0.1333
		0.5	0.6333	0.0667
		0.7	0.9000	0.0816
		0.9	0.8000	0.0667
		1	0.7000	0.0667
