parking	gc_agent	L111	fragmented	graql
		0.3	0.2800	0.2040
		0.5	0.4400	0.2653
		0.7	0.7200	0.1600
		0.9	0.8000	0.1789
		1	0.6400	0.1960
parking	gd_agent	L333	continuing	graql
		0.3	0.2800	0.2993
		0.5	0.5600	0.1497
		0.7	0.8000	0.1789
		0.9	0.8800	0.0980
		1	1.0000	0.0000
parking	gd_agent	L444	fragmented	graml
		0.3	0.5667	0.1333
		0.5	0.7333	0.1333
		0.7	0.8000	0.1633
		0.9	0.8333	0.0000
		1	0.9000	0.0816
parking	gd_agent	L444	fragmented	graql
		0.3	0.9667	0.0667
		0.5	0.9000	0.0816
		0.7	0.9000	0.0816
		0.9	0.9667	0.0667
		1	0.9333	0.0816
parking	gd_agent	L444	continuing	graml
		0.3	0.1333	0.1247
		0.5	0.3333	0.2357
		0.7	0.5000	0.1491
		0.9	0.7000	0.1633
		1	0.8000	0.0667
parking	gd_agent	L444	continuing	graql
		0.3	0.3333	0.2357
		0.5	0.6000	0.0816
		0.7	0.7667	0.1700
		0.9	0.9333	0.0816
		1	1.0000	0.0000
parking	gd_agent	L555	fragmented	graql
		0.3	0.7143	0.1278
		0.5	0.8000	0.0700
		0.7	0.8571	0.0000
		0.9	0.8000	0.0700
		1	0.7714	0.0700
parking	gd_agent	L555	continuing	graql
		0.3	0.2286	0.1143
		0.5	0.5429	0.1069
		0.7	0.6000	0.1400
		0.9	0.8286	0.0571
		1	0.8571	0.0000
